"Ativityname","type","img","name","price"
"限时抢购","choiceness","http://img0.gjw.com/product/2017/0225/cb2a83e93b5a46c493d01aceb5f3c4ab.jpg","52度 剑南春 500ml",439
,"choiceness","http://img0.gjw.com/product/2017/0629/726e7f452aeb4f9d88a51591858af18f.jpg","【整箱装】53度 习酒 红习酱 500ml*6瓶",359
,"choiceness","http://img0.gjw.com/product/2017/1222/ee8ee299c9244c7688ef380a9b52e822.jpg","53度 茅台 迎宾酒 500ml",128
"会员价","choiceness","http://img0.gjw.com/product/2017/0817/a139ef060f8043a5aea12fa5a55f3680.jpg","52度 西凤 凤香经典 10年 500ml",139
,"choiceness","http://img0.gjw.com/product/2018/0823/aeca43e9e2954a1fbf92534d0b67a805.jpg","53度 珍酒 珍品 1975 500ml",198
,"choiceness","http://img0.gjw.com/product/2018/0105/2274daaaec7145e4b8147e8577ba4853.jpg","43度 茅台飞天酒 （带杯） （ 2019年产 ）500ml",799
,"choiceness","http://img0.gjw.com/product/2017/0309/e32fb10d420d443688d028f00be09c78.jpg","53度 郎酒 10年 红花郎 500ml",388
"限时抢购","choiceness","http://img0.gjw.com/product/2017/0629/c1d1d4b044634c808fec93a7b167c64e.jpg","【整箱装】52度 泸州老窖股份公司 老窖陈酒珍品 500ml*6瓶",139
,"choiceness","http://img0.gjw.com/product/2017/0613/91ce8929273a4c429c8513b5a7eafe2c.jpg","54度 董酒 特级国密 500ml",1199
,"choiceness","http://img0.gjw.com/product/2018/1213/0fe40459b5b542cfbfe5b72b00dfaacd.jpg","53度 珍酒 珍五 （金版） 500ml",200
,"choiceness","http://img0.gjw.com/product/2017/0522/018b40d366fd458a9bbd7d4d2711917d.jpg","澳大利亚 奔富 洛神山庄 红葡萄酒 750ml*6瓶【整箱装】",298
"会员价","choiceness","http://img0.gjw.com/product/2017/0825/ad2272c0a657478185bdbf51594ef1d7.jpg","51度 茅台 汉酱酒 500ml",368
,"choiceness","http://img0.gjw.com/product/2018/0810/40440a8a2592427181a34b42d696119c.jpg","53度 五粮液股份 永福酱酒（老酱）（2010-2012年产）500ml",488
,"choiceness","http://img0.gjw.com/product/2017/0801/59bf2b55aac944b49fd6a88dc654bfac.jpg","53度 茅台王子传承2000 500ml",356
"限时抢购","choiceness","http://img0.gjw.com/product/2017/0713/59ffc8d4a06d40e1b4cd3915f140ba0e.jpg","52度 小糊涂仙 500ml",138
,"choiceness","http://img0.gjw.com/product/2018/0813/d0c6672bdf2d47699d89552e0e2547b9.jpg","53度 茅台 王茅 百年印象酒 (2017年产) 500ml",179
,"choiceness","http://img0.gjw.com/product/2018/0104/d46fd2b3e46148038d1e1aafe50af717.jpg","52度 小酒人生 （2009年） 100ml",19
,"choiceness","http://img0.gjw.com/product/2018/1122/e80718f6ffc44398b5228e115e8f573c.jpg","52度 五粮液股份 六和液人和 品鉴装（光瓶）(2017年产) 500ml",85
"会员价","choiceness","http://img0.gjw.com/product/2017/1219/bed01a750686474783ce4b78ce6de8ca.jpg","55度 古井贡酒 十年陈酿（曹操瓶） （2012年产）750ml",345
,"choiceness","http://img0.gjw.com/product/2018/0420/701fce074eed4a789e073224ecc9fa12.jpg","54度 董酒 国密 500ml",399
,"choiceness","http://img0.gjw.com/product/2018/0409/5d2493ff2eb44a088b96ed363559be3e.jpg","52度 水井坊 臻酿八號 500ml",310
"限时抢购","choiceness","http://img0.gjw.com/product/2019/0321/e0a64e32331442d281cc4bbd4cddaa2f.jpg","53度 茅台 赖茅酒（端曲）（ 2016年产 ）500ml",179
,"choiceness","http://img0.gjw.com/product/2017/0113/14fd1a8255ff4de6b5405cf532924f06.jpg","53度 茅台王子酒 酱色 500ml",298
,"choiceness","http://img0.gjw.com/product/2017/0331/cf42be76731b470bb341292db593ca4f.jpg","53度 习酒 银质 500ml",118
"会员价","choiceness","http://img0.gjw.com/product/2019/0313/084cea115e4542d99a33db0da043e9c2.jpg","53度 茅台 珍品王子酒 （ 2018年产 ）500ml",498
,"choiceness","http://img0.gjw.com/product/2017/0109/d62a7e2be27f4d05b8390ad262d920bc.jpg","【整箱装】53度 茅台镇 舒心酱酒 原浆老酒1986 500ml*6瓶",99
,"choiceness","http://img0.gjw.com/product/2016/1018/b971eda780fb470abab624b940492905.jpg","52度 洋河 海之蓝 480ml",158
,"choiceness","http://img0.gjw.com/product/2017/0510/5c4e66681c614b6e91421068e9c1bdc1.jpg","澳大利亚 黄尾袋鼠 梅洛红葡萄酒 750ml",59
"会员价","white","http://img0.gjw.com/product/2019/0115/8b95ae31274242b68f1d7237c83503ba.jpg","53度 茅台 飞天带杯（2019年产）500ml",1920
,"white","http://img0.gjw.com/product/2019/0319/bce12f589920489c97d90d3353de2477.jpg","42度 扳倒井 福樽 （2012年产）480ml",79
,"white","http://img0.gjw.com/product/2019/0329/37c5cc28eead443e959b2eddb2389857.jpg","53度 茅台 王子酒 （ 2018年产 ）500ml",228
,"white","http://img0.gjw.com/product/2019/0318/a5306f9c2f6c4615addea8ecbba9a2ab.jpg","53度 茅台 王子酒（酱门经典） （ 2017年产 ） 500ml",228
,"white","http://img0.gjw.com/product/2017/1114/130aae1e17a84b66af3592e04b7bbc71.jpg","52度 文君酒（2013年产） 500ml",378
"会员价","white","http://img0.gjw.com/product/2019/0313/1768fbb8ce964368adb81c0ce93b8de1.jpg","53度 茅台 仁酒（2019年产）500ml",259
,"white","http://img0.gjw.com/product/2019/0321/a048e21c10584f10a32edd64a371f6a6.jpg","53度 茅台 赖茅（传承）蓝色 （ 2018年产 ）500ml",288
,"white","http://img0.gjw.com/product/2018/0523/472d0547a9c44a4488d04dc5eabbf2e1.jpg","52度 五粮液 500ml",1099
,"white","http://img0.gjw.com/product/2017/0629/92b8f818ecd14bbe9a3c55865e7bae38.jpg","【整箱装】53度 茅台 王子酒 500ml*6瓶",768
,"white","http://img0.gjw.com/product/2017/0629/16340c5123714b24addb46a05330410f.jpg","【整箱装】53度 茅台 迎宾酒 500ml*6瓶",588
,"white","http://img0.gjw.com/product/2017/0225/cb2a83e93b5a46c493d01aceb5f3c4ab.jpg","52度 剑南春 500ml",439
,"white","http://img0.gjw.com/product/2017/0629/726e7f452aeb4f9d88a51591858af18f.jpg","【整箱装】53度 习酒 红习酱 500ml*6瓶",359
"会员价","white","http://img0.gjw.com/product/2017/1222/ee8ee299c9244c7688ef380a9b52e822.jpg","53度 茅台 迎宾酒 500ml",128
,"white","http://img0.gjw.com/product/2017/0817/a139ef060f8043a5aea12fa5a55f3680.jpg","52度 西凤 凤香经典 10年 500ml",139
,"white","http://img0.gjw.com/product/2018/0823/aeca43e9e2954a1fbf92534d0b67a805.jpg","53度 珍酒 珍品 1975 500ml",198
,"white","http://img0.gjw.com/product/2018/0105/2274daaaec7145e4b8147e8577ba4853.jpg","43度 茅台飞天酒 （带杯） （ 2019年产 ）500ml",799
,"white","http://img0.gjw.com/product/2017/0309/e32fb10d420d443688d028f00be09c78.jpg","53度 郎酒 10年 红花郎 500ml",388
,"white","http://img0.gjw.com/product/2017/0629/c1d1d4b044634c808fec93a7b167c64e.jpg","【整箱装】52度 泸州老窖股份公司 老窖陈酒珍品 500ml*6瓶",139
"限时抢购","white","http://img0.gjw.com/product/2017/0613/91ce8929273a4c429c8513b5a7eafe2c.jpg","54度 董酒 特级国密 500ml",1199
,"white","http://img0.gjw.com/product/2018/1213/0fe40459b5b542cfbfe5b72b00dfaacd.jpg","53度 珍酒 珍五 （金版） 500ml",200
,"white","http://img0.gjw.com/product/2017/0825/ad2272c0a657478185bdbf51594ef1d7.jpg","51度 茅台 汉酱酒 500ml",368
,"white","http://img0.gjw.com/product/2018/0810/40440a8a2592427181a34b42d696119c.jpg","53度 五粮液股份 永福酱酒（老酱）（2010-2012年产）500ml",488
,"white","http://img0.gjw.com/product/2017/0801/59bf2b55aac944b49fd6a88dc654bfac.jpg","53度 茅台王子传承2000 500ml",356
,"white","http://img0.gjw.com/product/2017/0713/59ffc8d4a06d40e1b4cd3915f140ba0e.jpg","52度 小糊涂仙 500ml",138
"满额立减","white","http://img0.gjw.com/product/2018/0813/d0c6672bdf2d47699d89552e0e2547b9.jpg","53度 茅台 王茅 百年印象酒 (2017年产) 500ml",179
,"white","http://img0.gjw.com/product/2018/0104/d46fd2b3e46148038d1e1aafe50af717.jpg","52度 小酒人生 （2009年） 100ml",19
,"white","http://img0.gjw.com/product/2018/1122/e80718f6ffc44398b5228e115e8f573c.jpg","52度 五粮液股份 六和液人和 品鉴装（光瓶）(2017年产) 500ml",85
,"white","http://img0.gjw.com/product/2017/1219/bed01a750686474783ce4b78ce6de8ca.jpg","55度 古井贡酒 十年陈酿（曹操瓶） （2012年产）750ml",345
"会员价","white","http://img0.gjw.com/product/2018/0420/701fce074eed4a789e073224ecc9fa12.jpg","54度 董酒 国密 500ml",399
,"white","http://img0.gjw.com/product/2018/0409/5d2493ff2eb44a088b96ed363559be3e.jpg","52度 水井坊 臻酿八號 500ml",310
,"white","http://img0.gjw.com/product/2017/0113/14fd1a8255ff4de6b5405cf532924f06.jpg","53度 茅台王子酒 酱色 500ml",298
"满额立减","white","http://img0.gjw.com/product/2019/0321/e0a64e32331442d281cc4bbd4cddaa2f.jpg","53度 茅台 赖茅酒（端曲）（ 2016年产 ）500ml",179
,"white","http://img0.gjw.com/product/2017/0331/cf42be76731b470bb341292db593ca4f.jpg","53度 习酒 银质 500ml",118
,"white","http://img0.gjw.com/product/2019/0313/084cea115e4542d99a33db0da043e9c2.jpg","53度 茅台 珍品王子酒 （ 2018年产 ）500ml",498
,"white","http://img0.gjw.com/product/2017/0109/d62a7e2be27f4d05b8390ad262d920bc.jpg","【整箱装】53度 茅台镇 舒心酱酒 原浆老酒1986 500ml*6瓶",99
,"white","http://img0.gjw.com/product/2016/1018/b971eda780fb470abab624b940492905.jpg","52度 洋河 海之蓝 480ml",158
,"white","http://img0.gjw.com/product/2017/0816/9176a66be6ff46e8bcecd02ec3ca2ed0.jpg","52度 舍得酒  500ml",359
"会员价","white","http://img0.gjw.com/product/2017/0629/ddd174a3be11479bb307b5f4feb1f998.jpg","【整箱装】52度 五粮迎宾酒 上品 500ml*6瓶",588
,"white","http://img0.gjw.com/product/2019/0319/08402751c76d4b2b99a5ed32cc26fb51.jpg","53度 茅台王子酒 黑金 （ 2018年产 ） 500ml",298
,"white","http://img0.gjw.com/product/2018/0420/ae7cb0357ec54b1b869f60d1de417d7f.jpg","53度 茅台迎宾酒 龙凤呈祥（凤祥）（2016年产） 500ml",88
,"grape","http://img0.gjw.com/product/2017/0527/418ff41a27584913a07cb1645059bd89.jpg","法国 拉菲 传奇波尔多AOC 红葡萄酒 750ml",69
"限时抢购","grape","http://img0.gjw.com/product/2017/0727/9ec9b2b1e7764180b112091fff528010.jpg","拉菲 传奇波尔多AOC 红葡萄酒 750ml*6瓶【整箱装】",368
,"grape","http://img0.gjw.com/product/2017/0522/018b40d366fd458a9bbd7d4d2711917d.jpg","澳大利亚 奔富 洛神山庄 红葡萄酒 750ml*6瓶【整箱装】",298
,"grape","http://img0.gjw.com/product/2017/0510/5c4e66681c614b6e91421068e9c1bdc1.jpg","澳大利亚 黄尾袋鼠 梅洛红葡萄酒 750ml",59
"会员价","grape","http://img0.gjw.com/product/2017/0510/831468d61f594770be0a393edc05a750.jpg","法国 拉菲 传说波尔多AOC 红葡萄酒  750ml",69
,"grape","http://img0.gjw.com/product/2017/0517/1e37b63ff6bd41079517865b3c907916.jpg","澳大利亚 奔富 洛神山庄 设拉子赤霞珠 红葡萄酒 750ml",78
,"grape","http://img0.gjw.com/product/2017/0927/5f5cbe80485f483b97046f56a85ef9fd.jpg","澳大利亚 黄尾袋鼠 西拉红葡萄酒 750ml",59
,"grape","http://img0.gjw.com/product/2018/1213/ab60598fddc943b0a9253e554c95f979.jpg","西班牙 牧场主皇族雄狮少女之恋桃红起泡葡萄酒 750ml",19
"会员价","grape","http://img0.gjw.com/product/2017/0523/81627f4a552d42debfa9e382f555270a.jpg","法国 拉菲 珍藏波尔多 红葡萄酒750ml*6瓶【整箱装】",499
,"grape","http://img0.gjw.com/product/2017/0523/c578cbdd15064813991b4ec7c93ad3ad.jpg","法国 拉菲 传说波尔多 AOC级红葡萄酒 750ml*6瓶【整箱装】",359
,"grape","http://img0.gjw.com/product/2017/0518/2cd3cbddc1d14bdb9cac90835cc06fc0.jpg","澳大利亚 奔富 洛神山庄 赤霞珠 红葡萄酒 750ml",78
"会员价","grape","http://img0.gjw.com/product/2017/0518/ef5f76434b954735b19e0af3e6bcbab7.jpg","澳大利亚 奔富 洛神山庄 梅洛红葡萄酒750ml",78
,"grape","http://img0.gjw.com/product/2017/0526/2b9cfe70776f4004bbabc8f197ce616f.jpg","澳大利亚 黄尾袋鼠 西拉红葡萄酒 750ml*6瓶【整箱装】",299
,"grape","http://img0.gjw.com/product/2016/0805/0cec695f785c4d509ee2aa4ad2225ead.jpg","法国 拉菲 珍藏波尔多 红葡萄酒 750ml",89
,"grape","http://img0.gjw.com/product/2017/0527/930e3ea315c047159fae605c5cefe7e0.jpg","智利 干露 红魔鬼 梅洛红葡萄 750ml",58
"会员价","grape","http://img0.gjw.com/product/2017/0526/0ea643ec9d6b49cdb6aa3312ce9da554.jpg","澳大利亚 黄尾袋鼠 梅洛红葡萄酒 750ml*6瓶【整箱装】",299
,"grape","http://img0.gjw.com/product/2015/0226/78893a3307ca4e5f8cb784197447ed5a.jpg","长城 华夏92 木盒珍藏级葡萄酒 750ml",152
,"grape","http://img0.gjw.com/product/2014/0806/fd2a3a359d5b44ed80735551536b3a3f.jpg","张裕 梅鹿辄红葡萄酒 圆桶装 750ml",49
,"grape","http://img0.gjw.com/product/2017/0313/be46766ef3584909be65da555d6faebd.jpg","法比纳古堡 皇族雄狮系列 鲁西荣 红葡萄酒750ml",299
,"grape","http://img0.gjw.com/product/2017/0511/67d7e65272394a7fabbefccf5eb15b74.jpg","法国 拉菲 奥希耶红 红葡萄酒 750ml",79
,"grape","http://img0.gjw.com/product/2014/1212/da8f489dc13648978612b1077431f30a.jpg","皇轩 圆桶装 红葡萄酒 （法国原瓶进口）750ml",48
"会员价","grape","http://img0.gjw.com/product/2017/0510/111c0c74cd744fe5b79687eada803401.jpg","澳大利亚 黄尾袋鼠 赤霞珠红葡萄酒 750ml",59
,"grape","http://img0.gjw.com/product/2017/0518/ed3200de000240f28ba856210ab83ab8.jpg","澳大利亚 奔富 洛神山庄 西拉 红葡萄酒 750ml",78
,"grape","http://img0.gjw.com/product/2017/0627/6adfe5f80b0941bb8df19d86701988c0.jpg","智利 拉菲 华诗歌 巴斯克 赤霞珠 红葡萄酒 750ml",79
"限时抢购","grape","http://img0.gjw.com/product/2018/0412/f04138a1eda54c4a8466ad7a74ccbe38.jpg","Penfolds奔富 蔻兰山 寇兰山系列 红葡萄酒 澳洲原瓶进口 红酒6支装",508
,"grape","http://img0.gjw.com/product/2017/0527/dd1cf98b67e34a30b68156b35a028971.jpg","智利 干露 红魔鬼 黑皮诺红葡萄酒 750ml",68
,"grape","http://img0.gjw.com/product/2018/0920/82822300a77d4831814fa5f5efe1c3bc.jpg","澳大利亚 奔富 BIN2 西拉子慕合怀特葡萄酒 750ml",169
,"grape","http://img0.gjw.com/product/2014/1225/f3739a75721142b1a3e913975ba1e195.jpg","张裕 解百纳（特选级）红葡萄酒 750ml",98
,"grape","http://img0.gjw.com/product//Upload_V5/Product/2014/0414/59ab6e50-ed74-4f25-b439-3a02ed999d56.jpg","长城 华夏94 圆桶珍藏品葡萄酒 750ml",99
"会员价","grape","http://img0.gjw.com/product/2017/1115/1f0bd26c8b134efa96a24356ad17d07d.jpg","长城 精选级 解百纳 红葡萄酒（圆桶装） 750ml",48
,"grape","http://img0.gjw.com/product/2017/0510/0a4e7ebe023f4d4782a4d41e4ed92b09.jpg","法国 拉菲 尚品波尔多 红葡萄酒750ml【带ASC防伪码】",99
,"grape","http://img0.gjw.com/product/2018/0423/6c358005cc644a6eab9e117b05a4f996.jpg","澳大利亚 奔富 洛神山庄 西拉赤霞珠 红葡萄酒 1500ml",99
,"grape","http://img0.gjw.com/product/2017/0313/e7e9e5e01b774fabaa775ce27d5cfcfa.jpg","法比纳古堡 皇族雄狮 公爵 红葡萄酒 750ml",39.9
,"grape","http://img0.gjw.com/product//Upload_V5/Product/2014/0422/6d0cbe2c-3f59-47c6-aef7-445dbb5a9dfe.JPG","法国 卡斯特 邦塞 精选 红葡萄酒  750ml",89
"满额立减","grape","http://img0.gjw.com/product/2017/0531/395451dfe1e34473afd4a083647d2d8e.jpg","美国 加州乐事 红葡萄酒 750ml",49
,"grape","http://img0.gjw.com/product/2017/0527/664b4d592d544e1cbf9a806ff7e6df8b.jpg","智利 干露 红魔鬼 梅洛红葡萄酒750ml*6瓶【整箱装】",299
,"grape","http://img0.gjw.com/product/2018/0423/ab0448b157b14b5c8c42a7d2cc105a63.jpg","澳大利亚  黄尾袋鼠 霞多丽白葡萄酒  750ml",59
"会员价","grape","http://img0.gjw.com/product/2012/0906/3af7f5967d694990811a92ab31fd7d22.jpg","法国 康茗古堡（2007） 红葡萄酒 750ml",75
,"grape","http://img0.gjw.com/product/2017/0511/2788424d52a041e0ad5f94715fd5c453.jpg","法国 拉菲 奥希耶徽纹 红葡萄酒 750ml",198
,"grape","http://img0.gjw.com/product/2014/1024/5706dd212a214229b4277f15af4a2ed7.jpg","法莱雅酒堡 西拉红葡萄酒（金瓶） 750ml",99
,"sake","http://img0.gjw.com/product/2018/1211/ae148917f33049f3bc3b1d38a945ea56.jpg","芝华士 12年威士忌 700ml",175
,"sake","http://img0.gjw.com/product/2018/0329/448f60b7a12b4c9aa9c9cca8b656bbcc.jpg","尊尼获加Johnnie Walker 红牌威士忌 700ml",88
"会员价","sake","http://img0.gjw.com/product/2018/1022/a8494962c65f4a4ab048ebddd3b96980.jpg","百龄坛 特醇威士忌 700ml",105
,"sake","http://img0.gjw.com/product/2018/0918/a8ad40496b81404cbe9ebabc738bc9ce.jpg","杰克丹尼 田纳西州威士忌 700ml",165
,"sake","http://img0.gjw.com/product/2018/0912/4d44c9fbe429408c8feaa0a3ce554701.jpg","人头马 XO 干邑白兰地 700ml",1399
"限时抢购","sake","http://img0.gjw.com/product/2018/0329/5330b04ebe3b4c2e9747ef99ff5c989e.jpg","尊尼获加Johnnie Walker 黑牌威士忌黑方 700ml",179
,"sake","http://img0.gjw.com/product/2016/0331/54e9e4264dc64688b4f527a155c5fa66.jpg","马爹利 名士 干邑白兰地 700ml",488
,"sake","http://img0.gjw.com/product/2017/0911/44a9c4c0bf0c482197303e9d91b799a9.jpg","百龄坛 特醇威士忌 小酒版 50ml",29
,"sake","http://img0.gjw.com/product/2018/1221/e264711480ab426caeafb91158397804.jpg","剑威 苏格兰威士忌 700ml",105
,"sake","http://img0.gjw.com/product/2018/1026/37d8820d8748489dac15ba96ab2a1f7e.jpg","轩尼诗Hennessy VSOP 干邑白兰地 700ml",458
,"sake","http://img0.gjw.com/product//Upload_V5/Product/2014/0326/5abcf9bc-e736-46a3-9310-c0a457ce373f.JPG","百利 甜力娇酒 750ml",169
"限时抢购","sake","http://img0.gjw.com/product/2015/0227/ba8901f8a98b489998137eb3de98978a.jpg","格兰 苏格兰威士忌 700ml",59
,"sake","http://img0.gjw.com/product/2012/0510/48e19f7eb4064c06b5986b732115294c.JPG","人头马 VSOP 小酒版 50ml",36
,"sake","http://img0.gjw.com/product/2018/1221/a28cad14a22b4742a537b0e6e56c1d60.jpg","苏连 红牌 伏特加 750ml",69
,"sake","http://img0.gjw.com/product/2018/1022/33cea947dabf45f3ad4538e8b9457cdb.jpg","皇家礼炮 21年特级威士忌 700ml",1099
"会员价","sake","http://img0.gjw.com/product/2012/0509/661cb6b5341c41148bb188a0578c2de6.JPG","古巴 哈瓦那俱乐部 白朗姆酒 750ml",69
,"sake","http://img0.gjw.com/product/2017/0801/5e799f24e7a74315b824cb2244be8b6a.jpg","15度 日本 菊正宗牌 上选清酒 1800ml",139
,"sake","http://img0.gjw.com/product/2013/0529/ff093cd264ed40ccbf44ef0fb60fc44b.jpg","马爹利 XO 小酒版 50ml",137
,"sake","http://img0.gjw.com/product/2018/1022/65bdb1337a924051a43692357a553e4e.jpg","麦卡伦 12年单一纯麦威士忌 700ml",580
,"sake","http://img0.gjw.com/product/2018/1023/e21c3e24c49a42f69be1507a750838f7.jpg","人头马 俱乐部 干邑白兰地 700ml",510
"会员价","sake","http://img0.gjw.com/product/2018/0508/246d9702c64e48e38df79914cd1cb088.jpg","夜线 威士忌 700ml",48
,"sake","http://img0.gjw.com/product/2017/0911/d16b1c96a18b46c1bfbf1b6e1ff33972.jpg","皇家礼炮 威士忌  小酒版 50ml",149
,"sake","http://img0.gjw.com/product/2018/1022/d3cf4a7df1874b23a6195d6890d506c1.jpg","人头马 XO 干邑白兰地 小酒版 50ml",159
,"sake","http://img0.gjw.com/product/2018/1023/879a21f2a40445bd8406686816fb203e.jpg","尊尼获加Johnnie Walker 金牌威士忌 750ml",339
,"sake","http://img0.gjw.com/product/2017/0803/d9202388d03a446a8188201336d56d26.jpg","天下平和鬼 （鬼酒） 1800ml",128
"限时抢购","sake","http://img0.gjw.com/product//Upload_V5/Product/2014/0320/e57d67b8-23d7-4ccf-a9b7-575f78fba302.JPG","人头马 VSOP 特优香槟干邑白兰地 700ml",409
,"sake","http://img0.gjw.com/product/2018/1023/c7fd8ffae5d545edbab3347da05dfaa4.jpg","百龄坛 12年威士忌 700ml",199
,"sake","http://img0.gjw.com/product/2018/0412/5950fb0a3cc241578b59d09b8587f8df.jpg","波士 力娇酒 700ml",39
,"sake","http://img0.gjw.com/product/2013/0325/b2273c9bfda04055991d95b27ad94609.jpg","白占边 威士忌 小酒版 50ml",19
"会员价","sake","http://img0.gjw.com/product/2017/0701/841322848c874f59a82e28daed41c066.jpg","15度 日本 菊正宗牌 纯米清酒（酒樽酒） 720ml",149
,"sake","http://img0.gjw.com/product/2012/0613/6a54e61e5d0c4c649fc91dfb00f15eb9.JPG","法国 皇太子 伏特加 700ml",59
,"sake","http://img0.gjw.com/product//2012/0425/0f7f53da26944b3e8accaf13d77c54d3.JPG","老伯威 12年威士忌 750ml",199
,"sake","http://img0.gjw.com/product/2012/0425/3e4aa3d648a149d1955030ea397555be.JPG","白金武士 龙舌兰 墨西哥烈酒 750ml",72
,"sake","http://img0.gjw.com/product/2018/1112/ce919317023c4f7ab445f17d6bd4c9ca.jpg","帝摩大摩 12年苏格兰 单一麦芽威士忌 700ml",558
"限时抢购","sake","http://img0.gjw.com/product/2018/0408/9ab756752d7b48a19df44762e1de7f74.jpg","菊正宗 庆祝 本酿造1800ml",198
,"sake","http://img0.gjw.com/product/2014/0529/0e67066d029b415fbc4763904514bd57.jpg","英国 必富达 金酒（毡酒） 750ml",88
,"sake","http://img0.gjw.com/product/2017/0731/8ae80e637c294dbe8dbe120b7be99462.jpg","菊正宗牌 纯米清酒 300ml",85
,"sake","http://img0.gjw.com/product/2012/0410/053c154650454d88b09dbfeebd521ae6.JPG","绝对 辣椒味 伏特加 750ml",79
,"sake","http://img0.gjw.com/product/2018/1022/1bf729e2cff14af281cea5d4ba636bc4.jpg","轩尼诗Hennessy XO 干邑白兰地 700ml",1499
"会员价","sake","http://img0.gjw.com/product/2018/0408/531bda24252e4bbdb81d6e3615d5d2b2.jpg","15.5度 日本盛牌 上选清酒 1800ml",169
,"yellow","http://img0.gjw.com/product//2013/0603/9e383d06713043e4a34e26562c8a88ce.jpg","古越龙山 八年陈花雕 500ml",59
,"yellow","http://img0.gjw.com/product/2018/0606/11771549f8db40eabbe21bd6141f797b.jpg","青岛 啤酒 纯干 330ml",4
,"yellow","http://img0.gjw.com/product/2014/0827/c3f995dc4aea449999d1b3451c3c71b0.jpg","古越龙山 喜愿黄酒 428ml",49
,"yellow","http://img0.gjw.com/product/2016/0426/95df73e037de484da3568fadfe21f6f0.jpg","女儿红 浮雕双瓶装 125ml*2",79
,"yellow","http://img0.gjw.com/product/2014/0730/cb8cd94ca3d5425ca189131694e27d45.jpg","古越龙山 十年陈花雕 500ml",89
"限时抢购","yellow","http://img0.gjw.com/product/2018/0514/b263c903430f41f8b3ccc3897b15af57.jpg","同里红 2009 480ml*6",198
,"yellow","http://img0.gjw.com/product/2013/0530/e2c71b4f86484638b32cf309e61fcfc4.jpg","绍兴师爷 五年陈 白色紫砂 500ml",29
,"yellow","http://img0.gjw.com/product/2015/0820/eda201cbbc974bb08b1c3545016fc7e7.jpg","古越龙山 金五年花雕酒 500ml",29
,"yellow","http://img0.gjw.com/product/2012/0905/4de72b16e27d4e0e874fe97762adf1eb.jpg","和酒 8年陈金色年华 500ml",32
,"yellow","http://img0.gjw.com/product/2017/0427/94e3a4a19e4b44a59e46bb1cd304601d.jpg","沙洲优黄 手工冻藏 红福黄酒 500ml*6瓶【整箱装】",159
"会员价","yellow","http://img0.gjw.com/product/2018/0528/6bcb3436af9849ea84eddf040688bba8.jpg","和酒 金色年华 五年陈 500ml",25
,"yellow","http://img0.gjw.com/product/2013/0530/554c4a246f8e47f2ac44a4e9d29c515a.jpg","绍兴师爷 八年陈 青瓷 350ml",29
,"yellow","http://img0.gjw.com/product/2013/1012/eac194be926f4f21844b78b9282bec98.jpg","钱塘人家 六年陈酿 500ml",14
,"yellow","http://img0.gjw.com/product/2017/0116/7ffd1d2a6e2144718e6540762b1919ce.jpg","会稽山 东风精雕 六年陈酿 500ml*12",179
,"yellow","http://img0.gjw.com/product/2012/0907/1493ee48663e4b7b886df138327dc9e4.jpg","石库门 红标 500ml",22
"限时抢购","yellow","http://img0.gjw.com/product//2012/0905/5ee2d8c0ae594fb9a318dc457ca22707.jpg","石库门 黑标 500ml",29
